CustomerKey,Full_Name,EmailAddress,AnnualIncome,EducationLevel,Occupation,Gender
11005,JULIO RUIZ,julio1@adventure-works.com,"$70,000",Bachelors,Professional,Male
11009,SHANNON CARLSON,shannon38@adventure-works.com,"$70,000",Bachelors,Professional,Male
11104,EDGAR SARA,edgar11@adventure-works.com,"$70,000",Bachelors,Professional,Male
11106,JESSIE LIU,jessie9@adventure-works.com,"$70,000",Bachelors,Professional,Male
11109,RUBEN KAPOOR,ruben1@adventure-works.com,"$70,000",Bachelors,Professional,Male
11113,MICHEAL BLANCO,micheal11@adventure-works.com,"$70,000",Bachelors,Professional,Male
11451,RUBEN MUÑOZ,ruben30@adventure-works.com,"$70,000",Bachelors,Professional,Male
11711,DANIEL DAVIS,daniel23@adventure-works.com,"$70,000",Bachelors,Professional,Male
11757,VINCENT CAI,vincent21@adventure-works.com,"$70,000",Bachelors,Professional,Male
11758,COLIN YUAN,colin30@adventure-works.com,"$70,000",Bachelors,Professional,Male
11761,EDGAR MEHTA,edgar15@adventure-works.com,"$70,000",Bachelors,Professional,Male
11762,RANDALL GOMEZ,randall2@adventure-works.com,"$70,000",Bachelors,Professional,Male
11902,DREW PAL,drew13@adventure-works.com,"$70,000",Bachelors,Professional,Male
11915,PHILIP CARLSON,philip17@adventure-works.com,"$70,000",Bachelors,Professional,Male
11916,JOE RANA,joe14@adventure-works.com,"$70,000",Bachelors,Professional,Male
11917,ROY SANZ,roy40@adventure-works.com,"$70,000",Bachelors,Professional,Male
11986,MAX ALVAREZ,max5@adventure-works.com,"$70,000",Bachelors,Professional,Male
12004,JARROD SURI,jarrod0@adventure-works.com,"$70,000",Bachelors,Professional,Male
12337,DUSTIN GOLDSTEIN,dustin20@adventure-works.com,"$70,000",Bachelors,Professional,Male
12339,CLAYTON JAI,clayton29@adventure-works.com,"$70,000",Bachelors,Professional,Male
12669,IRVING SCHMIDT,irving0@adventure-works.com,"$70,000",Bachelors,Professional,Male
12671,ALAN HUANG,alan10@adventure-works.com,"$70,000",Bachelors,Professional,Male
12954,PEDRO DIAZ,pedro23@adventure-works.com,"$70,000",Bachelors,Professional,Male
12956,MARSHALL SUN,marshall12@adventure-works.com,"$70,000",Bachelors,Professional,Male
13103,BRENDAN RAJI,brendan19@adventure-works.com,"$70,000",Bachelors,Professional,Male
13104,GREGORY BECKER,gregory24@adventure-works.com,"$70,000",Bachelors,Professional,Male
13124,MARCO VANCE,marco4@adventure-works.com,"$70,000",Bachelors,Professional,Male
13125,ALEJANDRO HU,alejandro23@adventure-works.com,"$70,000",Bachelors,Professional,Male
13127,SHANE FERNANDEZ,shane18@adventure-works.com,"$70,000",Bachelors,Professional,Male
13616,COLE RAMIREZ,cole9@adventure-works.com,"$70,000",Bachelors,Professional,Male
13617,GERALD SURI,gerald29@adventure-works.com,"$70,000",Bachelors,Professional,Male
13618,JAY RAMAN,jay19@adventure-works.com,"$70,000",Bachelors,Professional,Male
13619,ARTURO XU,arturo13@adventure-works.com,"$70,000",Bachelors,Professional,Male
13620,DAMIEN YE,damien7@adventure-works.com,"$70,000",Bachelors,Professional,Male
13969,ROY MARTINEZ,roy18@adventure-works.com,"$70,000",Bachelors,Professional,Male
13970,PEDRO RANA,pedro11@adventure-works.com,"$70,000",Bachelors,Professional,Male
